log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
16.348813167249126,1.2247161654638357,20.6,9.0,71.0185,17.8,24.443428334099337,8.10162926143066,,3609.98,,1970,0,1.0099,False,False,False,False,False,False,False,False,False,False,575.3655577029133,
16.503788027323427,1.2247161654638357,15.3,7.3,74.3337,10.8,25.733901131042668,9.22959382889807,,5915.26,,1980,10,1.0099,False,False,False,False,False,False,False,False,False,False,686.0698587991603,
16.651543628734295,1.2247161654638357,15.4,7.0,76.9946,7.6,26.463058749125647,9.809786577267388,,8527.23,0.585095,1990,20,1.0099,False,False,False,False,False,False,False,False,False,False,755.3005936020717,9.010463000000001
16.76089451155434,1.2247161654638357,13.0,6.7,79.2341,5.1,26.75154435717711,9.984108554503743,6.283,10193.9,46.7561,2000,30,1.0099,False,False,False,False,False,False,False,False,False,False,791.081855618405,607.8293000000001
16.9074239047121,1.2247161654638357,13.7,6.5,81.6951,4.0,27.770783058303707,10.859423907276645,5.211,10726.9,76.0,2010,40,1.0099,False,False,False,False,False,False,False,False,False,False,887.1617220473562,1041.2
16.986046029482985,1.2247161654638357,12.9,6.6,82.4,3.2,27.931125708378886,10.946382741113597,6.056,,84.5605,2015,45,1.0099,False,False,False,False,False,False,False,False,False,False,901.9819378677605,1090.8304500000002
15.825776309642873,4.668968120459042,15.0,13.2,69.9146,25.1,23.455878560876872,7.6298639960773285,,3019.12,,1970,0,1.002,True,False,False,False,False,False,False,False,False,False,533.438889340148,
15.836735022676876,4.668968120459042,12.0,12.2,72.4634,13.9,25.130703119044867,9.293715980897234,,4684.46,,1980,10,1.002,True,False,False,False,False,False,False,False,False,False,673.4542586101486,
15.853964596636414,4.668968120459042,11.8,10.8,75.5683,8.0,25.835253625302954,9.98419157995109,,6111.48,0.130369,1990,20,1.002,True,False,False,False,False,False,False,False,False,False,754.4883845712179,1.5383542000000003
15.896254750825529,4.668968120459042,9.8,9.6,78.1268,4.6,26.006469565684398,10.109057590233174,4.687,7076.27,33.7301,2000,30,1.002,True,False,False,False,False,False,False,False,False,False,789.7883205406292,330.55498
